monthly;;;;;
Date;Apple;Paypal;BlackRock;Ford Motor Company;American Airlines
01/01/2016;24.334999;36.139999;314.260010;11.940000;38.990002
01/02/2016;24.172501;38.139999;311.959991;12.510000;41.000000
01/03/2016;27.247499;38.599998;340.570007;13.500000;41.009998
01/04/2016;23.434999;39.180000;356.329987;13.560000;34.689999
01/05/2016;24.965000;37.790001;363.850006;13.490000;31.910000
01/06/2016;23.900000;36.509998;342.529999;12.570000;28.309999
01/07/2016;26.052500;37.240002;366.250000;12.660000;35.500000
01/08/2016;26.525000;37.150002;372.809998;12.600000;36.299999
01/09/2016;28.262501;40.970001;362.459991;12.070000;36.610001
01/10/2016;28.385000;41.660000;341.239990;11.740000;40.599998
01/11/2016;27.629999;39.279999;370.790009;11.960000;46.439999
01/12/2016;28.955000;39.470001;380.540009;12.130000;46.689999
01/01/2017;30.337500;39.779999;373.980011;12.360000;44.250000
01/02/2017;34.247501;42.000000;387.459991;12.530000;46.360001
01/03/2017;35.915001;43.020000;383.510010;11.640000;42.299999
01/04/2017;35.912498;47.720001;384.570007;11.470000;42.619999
01/05/2017;38.189999;52.209999;409.239990;11.120000;48.410000
01/06/2017;36.005001;53.669998;422.410004;11.190000;50.320000
01/07/2017;37.182499;58.549999;426.529999;11.220000;50.439999
01/08/2017;41.000000;61.680000;419.010010;11.030000;44.740002
01/09/2017;38.529999;64.029999;447.089996;11.970000;47.490002
01/10/2017;42.259998;72.559998;470.829987;12.270000;46.820000
01/11/2017;42.962502;75.730003;501.190002;12.520000;50.490002
01/12/2017;42.307499;73.620003;513.710022;12.490000;52.029999
01/01/2018;41.857498;85.320000;561.799988;10.970000;54.320000
01/02/2018;44.529999;79.410004;549.429993;10.610000;54.250000
01/03/2018;41.945000;75.870003;541.719971;11.080000;51.959999
01/04/2018;41.314999;74.610001;521.500000;11.240000;42.930000
01/05/2018;46.717499;82.070000;534.229980;11.550000;43.540001
01/06/2018;46.277500;83.269997;499.040009;11.070000;37.959999
01/07/2018;47.572498;82.139999;502.760010;10.040000;39.540001
01/08/2018;56.907501;92.330002;479.059998;9.480000;40.480000
01/09/2018;56.435001;87.839996;471.329987;9.250000;41.330002
01/10/2018;54.715000;84.190002;411.420013;9.550000;35.080002
01/11/2018;44.645000;85.809998;428.010010;9.410000;40.160000
01/12/2018;39.435001;84.089996;392.820007;7.650000;32.110001
01/01/2019;41.610001;88.760002;415.079987;8.800000;35.770000
01/02/2019;43.287498;98.070000;443.220001;8.770000;35.630001
01/03/2019;47.487499;103.839996;427.369995;8.780000;31.760000
01/04/2019;50.167500;112.769997;485.239990;10.450000;34.180000
01/05/2019;43.767502;109.750000;415.559998;9.520000;27.230000
01/06/2019;49.480000;114.459999;469.299988;10.230000;32.610001
01/07/2019;53.259998;110.400002;467.679993;9.530000;30.510000
01/08/2019;52.185001;109.050003;422.559998;9.170000;26.309999
01/09/2019;55.992500;103.589996;445.640015;9.160000;26.969999
01/10/2019;62.189999;104.099998;461.700012;8.590000;30.059999
01/11/2019;66.812500;108.010002;494.910004;9.060000;28.740000
01/12/2019;73.412498;108.169998;502.700012;9.300000;28.680000
01/01/2020;77.377502;113.889999;527.349976;8.820000;26.840000
01/02/2020;68.339996;107.989998;463.010010;6.960000;19.049999
01/03/2020;63.572498;95.739998;439.970001;4.830000;12.190000
01/04/2020;73.449997;123.000000;502.040009;5.090000;12.010000
01/05/2020;79.485001;155.009995;528.640015;5.710000;10.500000
01/06/2020;91.199997;174.229996;544.090027;6.080000;13.070000
01/07/2020;106.260002;196.070007;575.010010;6.610000;11.120000
01/08/2020;129.039993;204.139999;594.190002;6.820000;13.050000
01/09/2020;115.809998;197.029999;563.549988;6.660000;12.290000
01/10/2020;108.860001;186.130005;599.210022;7.730000;11.280000
01/11/2020;119.050003;214.119995;698.349976;9.080000;14.130000
01/12/2020;132.690002;234.199997;721.539978;8.790000;15.770000
